Legume name,Food_prov,Feed_prov,Income_prov,Erosion control_prov,Fuel_prov,Soil fertility_prov
Pigeon pea (Cajanus cajan),4,2,3,3,2,3
"Climbing beans (Phaseolus vulgaris), local types available in W Ethiopia, harvested several (4-5) years before reseeding)",4,2,4,1,0,2
Climbing beans (Phaseolus vulgaris) annual type,4,2,4,1,0,2
Bush bean (Phaseolus vulgaris),4,1,4,1,1,1
Groundnuts (Arachis hypogaea L.),3,2,4,2,1,3
Soybean grain type (Glycine max L.),3,2,4,2,1,2
Soybean/dual purpose grain plus fodder (Glycine max L.),2,2,4,3,1,4
Faba bean (Vicia faba L.) ,4,2,4,1,0,3
Cowpea – grain type (Vigna unguiculata),4,1,4,1,0,2
Cowpea – forage type (Vigna unguiculata),2,4,2,2,0,2
Bambara nut (Voandzou subterraneous),4,0,0,1,0,2
Chickpea (Cicer arietinum L.) – desi type (for food)- following the main crop,4,2,4,1,0,2
Chickpea (Cicer arietinum L.) – kabuli type (for export)-main crop,3,2,4,1,0,2
Green grams/Mung bean (Vigna radiata),4,1,4,1,0,1
Lentils (Lens culinaris Medik.),4,3,4,1,0,2
"Lupins – Sweet lupin (new), traditional (Et)",2,1,3,2,1,4
"Field Pea (Pisum sativum L), adapted to high rainfall environment",4,3,4,2,0,2
Field pea (Pisum absynicum var. sativum)-adapted to low rainfall environment,4,3,3,2,1,2
Grass pea – (Lathyrus spp),3,1,3,1,0,3
Cluster bean (Cyamopsis tetragonoloba L.),3,1,3,1,0,3
Dolichos lablab (Lablab purpureus)- for grain,4,4,3,2,1,3
French beans (Phaseolus vulgaris),4,0,4,1,0,1
Desmodium silverleaf (Desmodium uncinatum),0,4,2,3,0,3
Clover (Trifolium),0,4,1,2,0,2
Alfalfa/lucerne (Medicago sativa),0,3,2,3,0,3
Stylosanthes guianensis - semi-erect -forage type,0,4,0,3,0,3
Stylosanthes hamata - bush/branching type-forage type,0,4,0,3,0,3
Stylosanthes scabra -erect - forage type,0,4,0,3,0,3
Hairy Vetch (Vicia villosa ),0,4,0,3,0,3
Vicia dasycarpa,0,4,0,3,0,3
Velvet bean (Mucuna pruriens) ,0,1,0,3,0,4
Lablab- forage type (Lablab purpureus),3,4,3,2,1,3
Crotolaria juncea,0,1,0,3,0,4
Calliandra calothyrus,0,4,2,4,3,3
Gliricidia sepium,0,3,1,4,4,4
Leucaena leucocephala,0,4,0,4,4,4
Leucaena trichandra,0,4,2,3,4,3
Leucaena diversifolia,0,4,2,3,4,3
Tree lucerne (Chamaecytisus palmensis),0,4,2,3,4,3
Sesbania sesban,0,4,2,4,3,3
Sesbania grandiflora,0,3,2,3,3,3
Tephrosia (Tephrosia vogelii),0,0,2,3,4,4
Faidherbia albidia,0,3,2,3,3,4
Acacia angustissima,0,2,3,3,4,3
