Legume name,Type
Pigeon pea (Cajanus cajan),Grain legume perennial
"Climbing beans (Phaseolus vulgaris), local types available in W Ethiopia, harvested several (4-5) years before reseeding)",Grain legume perennial
Climbing beans (Phaseolus vulgaris) annual type,Grain legume seasonal
Bush bean (Phaseolus vulgaris),Grain legume seasonal
Groundnuts (Arachis hypogaea L.),Grain legume seasonal
Soybean grain type (Glycine max L.),Grain legume seasonal
Soybean/dual purpose grain plus fodder (Glycine max L.),Grain legume seasonal
Faba bean (Vicia faba L.) ,Grain legume seasonal
Cowpea – grain type (Vigna unguiculata),Grain legume seasonal
Cowpea – forage type (Vigna unguiculata),Grain legume seasonal
Bambara nut (Voandzou subterraneous),Grain legume seasonal
Chickpea (Cicer arietinum L.) – desi type (for food)- following the main crop,Grain legume seasonal
Chickpea (Cicer arietinum L.) – kabuli type (for export)-main crop,Grain legume seasonal
Green grams/Mung bean (Vigna radiata),Grain legume seasonal
Lentils (Lens culinaris Medik.),Grain legume seasonal
"Lupins – Sweet lupin (new), traditional (Et)",Grain legume seasonal
"Field Pea (Pisum sativum L), adapted to high rainfall environment",Grain legume seasonal
Field pea (Pisum absynicum var. sativum)-adapted to low rainfall environment,Grain legume seasonal
Grass pea – (Lathyrus spp),Grain legume seasonal
Cluster bean (Cyamopsis tetragonoloba L.),Grain legume seasonal
Dolichos lablab (Lablab purpureus)- for grain,Grain legume seasonal
French beans (Phaseolus vulgaris),Grain legume seasonal
Desmodium silverleaf (Desmodium uncinatum),Herbaceous legumes - Perennial/regrowth (ability regrowth after seasonal harvesting)
Clover (Trifolium),Herbaceous legumes - Perennial/regrowth (ability regrowth after seasonal harvesting)
Alfalfa/lucerne (Medicago sativa),Herbaceous legumes - Perennial/regrowth (ability regrowth after seasonal harvesting)
Stylosanthes guianensis - semi-erect -forage type,Herbaceous legumes - Perennial/regrowth (ability regrowth after seasonal harvesting)
Stylosanthes hamata - bush/branching type-forage type,Herbaceous legumes - Perennial/regrowth (ability regrowth after seasonal harvesting)
Stylosanthes scabra -erect - forage type,Herbaceous legumes - Perennial/regrowth (ability regrowth after seasonal harvesting)
Hairy Vetch (Vicia villosa ),"Herbaceous legumes - Seasonal/no-regrowth (harvest after one season, then need reseeding)"
Vicia dasycarpa,"Herbaceous legumes - Seasonal/no-regrowth (harvest after one season, then need reseeding)"
Velvet bean (Mucuna pruriens) ,"Herbaceous legumes - Seasonal/no-regrowth (harvest after one season, then need reseeding)"
Lablab- forage type (Lablab purpureus),"Herbaceous legumes - Seasonal/no-regrowth (harvest after one season, then need reseeding)"
Crotolaria juncea,"Herbaceous legumes - Seasonal/no-regrowth (harvest after one season, then need reseeding)"
Calliandra calothyrus,Tree legumes - coppicing
Gliricidia sepium,Tree legumes - coppicing
Leucaena leucocephala,Tree legumes - coppicing
Leucaena trichandra,Tree legumes - coppicing
Leucaena diversifolia,Tree legumes - coppicing
Tree lucerne (Chamaecytisus palmensis),Tree legumes – coppicing
Sesbania sesban,Tree legumes – non coppicing
Sesbania grandiflora,Tree legumes – non coppicing
Tephrosia (Tephrosia vogelii),Tree legumes – non coppicing
Faidherbia albidia,Tree legumes – non coppicing
Acacia angustissima,Tree legumes – non coppicing
